CytScore.log2,Taxane.MitosisScore,Taxane.CeramideScore,Taxane.FinalScore,STAT1.gsva,GGI.gsva,GEP.gsva,ESC.gsva,STAT1.ssgsea.norm,GGI.ssgsea.norm,GEP.ssgsea.norm,ESC.ssgsea.norm,STAT1.ssgsea.notnorm,GGI.ssgsea.notnorm,ESC.ssgsea.notnorm,Swanton.MitosisScore,Swanton.CeramideScore,Swanton.PaclitaxelScore,B2M,TAP1,TAP2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.E,HLA.F,PD.1,CTLA.4,LAG3,TIGIT,TIM3,PD.L1,PD.L2,CD27,ICOS,IDO1,TIDE.Dysfunction,TIDE.Exclusion,TIDE.MDSC,TIDE.CAF,TIDE.TAM.M2,TIDE.IFNG,TIDE.CD274,TIDE.CD8
6.129,3.927366522,3.932168664,-0.004802141,0.714,0.242,0.9,0.168,1.719,1.563,1.87,1.705,24552.934,22332.074,24361.699,3.927366522,3.932168664,-0.004802141,5.37353,3.68142,2.20994,5.39521,5.49343,5.30866,4.15736,4.33974,4.63667,3.36686,-1.77214,-1.73816,-2.11592,-1.55285,-2.16981,-1.57065,-1.90538,2.53643,1.4624,-2.90999,0.97,-1.75,-0.09,-0.06,-0.12,1.93,1.75,1.74
5.671,4.599079946,3.761384074,0.837695872,0.598,0.48,0.704,0.435,1.638,1.642,1.78,1.736,23408.262,23457.862,24800.236,4.599079946,3.761384074,0.837695872,4.9245,3.56367,2.23412,4.89222,5.12185,4.58933,3.5493,3.6672,4.19969,3.07295,-1.68605,-1.53592,-1.73734,-1.29477,-1.63431,-1.3944,-1.44094,2.13183,1.20771,-2.35438,-0.14,-0.13,0.05,-0.03,-0.04,1.57,1.56,1.13
5.562,3.26924783,3.837357331,-0.568109501,0.61,0.025,0.768,0.138,1.621,1.53,1.793,1.689,23157.17,21856.134,24128.156,3.26924783,3.837357331,-0.568109501,5.45198,3.05985,1.44059,4.73734,5.38649,5.23772,3.73435,4.21969,4.48158,3.02259,-1.45627,-1.28566,-1.49994,-1.10639,-1.82749,-0.96532,-1.34497,2.81688,0.91979,-2.35203,1.27,-0.99,-0.07,-0.02,-0.05,1.13,0.48,1.54
2.177,5.293741111,3.259918705,2.033822405,0.351,0.643,-0.316,0.601,1.517,1.715,1.473,1.782,21668.904,24507.566,25463.194,5.293741111,3.259918705,2.033822405,4.51124,3.09775,1.69649,4.70163,4.75512,4.5038,2.53246,2.58722,3.77361,2.90141,-0.56776,-0.23539,-0.9677,-0.03747,-1.53118,-0.26214,-0.45681,0.45446,0.02514,-2.06927,-1.15,-0.54,0.1,-0.14,-0.06,-1.17,-0.92,-2.59
5.604,3.279725402,3.824841563,-0.545116161,0.637,-0.2,0.682,0.131,1.666,1.506,1.781,1.689,23802.589,21518.351,24137.306,3.279725402,3.824841563,-0.545116161,5.11399,2.79303,1.27604,4.7411,5.10415,4.8533,4.08459,4.15759,4.50054,2.85809,-1.54306,-1.65089,-1.0701,-1.3365,-1.68407,-0.74837,-1.3594,2.78733,1.27773,-1.77797,1.24,-0.85,-0.08,-0.01,-0.03,0.86,0.11,2.65
3.164,1.131698525,4.180204734,-3.048506209,-0.535,-0.688,-0.576,-0.171,1.321,1.244,1.394,1.612,18879.908,17772.108,23027.804,1.131698525,4.180204734,-3.048506209,4.18864,2.06176,0.83544,4.10585,4.17484,3.88328,3.1273,3.36553,3.60512,1.85084,-0.1559,0.10642,-0.28409,0.09004,-1.40958,-0.11655,-0.46729,0.70357,-0.28423,0.1038,0.31,0.48,-0.01,0.06,0.05,-2.44,-1.1,-0.69
3.025,5.539774404,3.029058695,2.510715709,-0.55,0.604,-0.326,0.431,1.315,1.708,1.462,1.75,18789.922,24404.749,25006.732,5.539774404,3.029058695,2.510715709,4.54369,2.88223,1.70295,4.83252,5.24949,5.34563,2.54837,2.66783,4.02386,2.70285,-0.14437,0.02802,-0.66168,-0.20701,-0.70392,-0.14806,-0.23962,0.85589,0.03557,-0.96328,-1.51,0.4,0.13,-0.1,0.03,-0.75,-1.04,0.31
2.485,5.404718283,5.150006093,0.25471219,-0.279,0.7,-0.532,0.474,1.386,1.72,1.426,1.739,19800.631,24568.572,24843.283,5.404718283,5.150006093,0.25471219,4.90522,2.87768,1.30883,4.48357,4.78489,4.61343,2.6497,2.75564,3.69797,2.04203,-0.12936,0.30125,-0.73299,0.10869,-0.96161,-0.32224,-0.12974,0.45837,-0.10473,-0.2923,-1.05,0.03,0.09,-0.1,0.02,-1.53,-0.71,-0.98
3.285,3.783787375,4.028138917,-0.244351543,0.432,0.358,0.37,0.306,1.534,1.59,1.614,1.717,21912.283,22718.229,24535.781,3.783787375,4.028138917,-0.244351543,4.99752,2.54818,1.26964,4.48375,4.75726,4.48235,3.20462,3.35855,3.99367,2.19819,-0.568,-0.72952,-0.55626,-0.49139,-1.51868,-0.72921,-0.79119,1.86967,0.53332,-1.2721,0.04,-0.18,0,0.01,-0.02,-0.69,-0.11,-0.58
2.506,3.406007022,4.066353882,-0.66034686,-0.499,-0.141,-0.31,0.189,1.386,1.514,1.5,1.689,19802.746,21629.795,24127.596,3.406007022,4.066353882,-0.66034686,4.84508,2.21149,0.93783,4.47785,4.70319,4.38097,3.72872,3.91631,3.9223,2.21046,0.05931,-0.3444,-0.16447,-0.10209,-1.64261,-0.38307,-1.06402,1.13952,0.22022,-0.10264,-0.15,1.34,0,0.18,0.06,-1.35,-0.68,-1.3
