Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
1.24966,1.59172,0.98957,1.38722,-2.34489,-1.03735,2.02458,1.9312,1.5297,-1.342875,2.5396,5.063443,0.80604,1.680693,3.261024,9.2238,1.571,4.52,2.864,2.446,1.461,1.335,2.406,3.748,0.504,-2.36,0.128,2.906,1.357,3.01
1.02292,1.24059,1.13324,1.34098,-2.04322,-1.19012,0.722845,0.50154,0.559882,-3.84216,-1.431915,4.776579,1.13667,1.330925,3.267957,9.630142,-1.759,4.039,1.977,1.438,1.571,0.714,3.097,5.83,-0.614,-4.752,-1.068,1.604,0.323,2.588
1.26127,1.70056,0.8526,1.09335,-1.31794,-0.63062,1.34686,2.2338,1.8622,-0.201425,2.8248,3.484386,-0.12864,0.057273,2.359321,6.16465,1.587,4.554,3.478,3.106,1.252,2.249,1.704,2.335,-1.152,-1.414,2.041,2.891,1.865,2.61
1.15964,1.73323,1.02174,1.4394,-1.90063,-1.00108,2.515367,3.6333,2.06192,-0.844325,2.898725,4.047757,2.51626,0.449967,3.274158,8.842113,1.799,5.074,4.598,3.363,1.051,2.627,2.22,4.293,-1.833,-3.833,1.388,3.785,2.358,4.121
1.50702,1.96882,1.12757,1.65484,-2.04159,-1.16812,2.9728,3.711,3.9298,1.0805,2.803375,5.037286,1.9652,1.203267,4.195242,9.0845,2.866,5.528,4.913,5.27,2.616,3.869,3.104,4.034,0.039,-0.547,3.146,4.155,3.488,4.16
0.74542,1.12818,1.14431,1.20096,-1.31006,-0.79173,0.033467,0.063,1.3712,-0.8145,-0.805375,3.291714,0.9476,1.063867,4.824485,9.160125,-2.163,2.547,1.202,2.009,2.959,0.843,2.329,2.71,-3.15,-6.023,-0.319,0.653,0.631,0.737
1.38112,1.99998,1.1422,1.64444,-2.19667,-1.14752,2.947033,4.2075,3.591,0.732975,3.21755,5.318186,-0.31642,0.682993,3.071555,7.50215,2.416,5.766,4.95,4.091,2.07,3.163,3.244,5.687,-0.5,-1.241,2.806,4.261,2.332,4.077
1.26892,1.86262,1.03939,1.48715,-1.87061,-1.10462,2.7278,3.784,3.1228,0.12475,3.114,4.601714,1.6478,0.699667,3.388394,8.809625,2.023,5.733,4.86,3.736,1.47,2.963,2.889,4.605,-0.529,-0.067,1.935,4.12,2.798,4.09
1.04067,1.64743,1.10859,1.43088,-2.10234,-1.31949,1.784467,2.831,2.3804,-0.35975,2.19775,5.081714,0.1568,1.263867,4.39003,9.6025,1.523,4.876,3.571,3.017,2.068,2.006,3.765,4.988,-0.741,-3.587,0.875,2.824,1.7,3.137
0.7168,1.01861,0.98209,1.05045,-1.53317,-0.8692,-0.527367,-0.4626,0.06896,-2.99995,-1.453725,3.721529,-0.98988,0.621253,3.400291,9.00745,-2.281,2.9,0.955,0.902,1.103,0.324,1.433,4.57,-1.966,-5.572,-0.917,0.315,-1.411,1.39
